epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,164.605,0.00209,0.98865,1,0.05267,0.00047326,0.00047326,0.00047326
2,329.44,0.02588,0.98511,1,0.06228,0.000930792,0.000930792,0.000930792
3,493.343,0.06107,0.9844,1,0.06665,0.00136946,0.00136946,0.00136946
4,659.381,0.07155,0.9461,1,0.28774,0.00134412,0.00134412,0.00134412
5,820.132,0.07578,0.98865,1,0.04178,0.00131582,0.00131582,0.00131582
6,976.681,0.07073,0.99574,1,0.01398,0.00128753,0.00128753,0.00128753
7,1137.43,0.03259,0.99504,1,0.0318,0.00125923,0.00125923,0.00125923
8,1296.33,0.02814,0.99433,1,0.23131,0.00123094,0.00123094,0.00123094
9,1452.02,0.03305,0.99078,1,0.04312,0.00120265,0.00120265,0.00120265
10,1607.68,0.03353,0.99362,1,0.02811,0.00117435,0.00117435,0.00117435
11,1767.47,0.0376,0.98936,1,0.03676,0.00114606,0.00114606,0.00114606
12,1920.1,0.04117,0.99291,1,0.03356,0.00111776,0.00111776,0.00111776
13,2086.12,0.02981,0.99149,1,0.03029,0.00108947,0.00108947,0.00108947
14,2245.27,0.02637,0.99433,1,0.02084,0.00106118,0.00106118,0.00106118
15,2407.35,0.03218,0.9922,1,0.02042,0.00103288,0.00103288,0.00103288
16,2576.85,0.05079,0.99574,1,0.01183,0.00100459,0.00100459,0.00100459
17,2740.7,0.02493,0.99574,1,0.01302,0.000976293,0.000976293,0.000976293
18,2906.73,0.02787,0.99504,1,0.01466,0.000947999,0.000947999,0.000947999
19,3070.26,0.03344,0.99504,1,0.01537,0.000919704,0.000919704,0.000919704
20,3235.07,0.02052,0.99716,1,0.01391,0.00089141,0.00089141,0.00089141
21,3393.48,0.02508,0.99504,1,0.02587,0.000863116,0.000863116,0.000863116
22,3547.13,0.03158,0.99504,1,0.02179,0.000834822,0.000834822,0.000834822
23,3705.84,0.02373,0.99504,1,0.02434,0.000806528,0.000806528,0.000806528
24,3862.54,0.02974,0.99574,1,0.01632,0.000778233,0.000778233,0.000778233
25,4020.81,0.01772,0.99504,1,0.01865,0.000749939,0.000749939,0.000749939
26,4180.54,0.02038,0.99291,1,0.03525,0.000721645,0.000721645,0.000721645
27,4343.97,0.0194,0.99433,1,0.02602,0.000693351,0.000693351,0.000693351
28,4504.21,0.01851,0.99291,1,0.03494,0.000665057,0.000665057,0.000665057
29,4666.34,0.01921,0.99433,1,0.03114,0.000636762,0.000636762,0.000636762
30,4818.4,0.01652,0.99433,1,0.02321,0.000608468,0.000608468,0.000608468
31,4976.76,0.00998,0.99504,1,0.03088,0.000580174,0.000580174,0.000580174
32,5138.93,0.01293,0.99504,1,0.02653,0.00055188,0.00055188,0.00055188
33,5299.6,0.01281,0.99504,1,0.02744,0.000523586,0.000523586,0.000523586
34,5460.26,0.01274,0.99574,1,0.0202,0.000495291,0.000495291,0.000495291
35,5613.35,0.01482,0.99645,1,0.01912,0.000466997,0.000466997,0.000466997
36,5771.12,0.01273,0.99574,1,0.01795,0.000438703,0.000438703,0.000438703
37,5928.65,0.01501,0.99504,1,0.02158,0.000410409,0.000410409,0.000410409
38,6085.68,0.01272,0.99574,1,0.02455,0.000382115,0.000382115,0.000382115
39,6242.38,0.01229,0.99362,1,0.02202,0.00035382,0.00035382,0.00035382
40,6400.93,0.01363,0.99574,1,0.02035,0.000325526,0.000325526,0.000325526
41,6567.58,0.01281,0.99504,1,0.01931,0.000297232,0.000297232,0.000297232
42,6726.08,0.00859,0.99433,1,0.0148,0.000268938,0.000268938,0.000268938
43,6887.44,0.00992,0.99504,1,0.0167,0.000240644,0.000240644,0.000240644
44,7040.9,0.01191,0.99574,1,0.01485,0.000212349,0.000212349,0.000212349
45,7204.98,0.0077,0.99574,1,0.01692,0.000184055,0.000184055,0.000184055
46,7356.76,0.01073,0.99504,1,0.01781,0.000155761,0.000155761,0.000155761
47,7517.72,0.00946,0.99504,1,0.02063,0.000127467,0.000127467,0.000127467
48,7680.71,0.00633,0.99504,1,0.01745,9.91726e-05,9.91726e-05,9.91726e-05
49,7838.58,0.0371,0.99504,1,0.01805,7.08784e-05,7.08784e-05,7.08784e-05
50,7997.24,0.00686,0.99504,1,0.01687,4.25842e-05,4.25842e-05,4.25842e-05
